"College","Region"
"West Virginia","Southeast"
"UCF","Southeast"
"Mississippi","Southeast"
"South Carolina","Southeast"
"Arkansas","Southeast"
"Boston College","Northeast"
"Iowa","Midwest"
"Oregon","West"
"Maryland","Northeast"
"Georgia","Southeast"
"Ohio State","Midwest"
"Fresno State","West"
"Illinois","Midwest"
"Cal State-Fullerton","West"
"Tennessee","Southeast"
"Texas State","Southwest"
"Texas","Southwest"
"Iowa State","Midwest"
"Missouri","Midwest"
"South Dakota","Midwest"
"Stanford","West"
"Clemson","Southeast"
"Penn State","Northeast"
"Alabama","Southeast"
"Louisville","Southeast"
"Pittsburgh","Northeast"
"Virginia","Southeast"
"TCU","Southwest"
"Michigan State","Midwest"
"Arizona State","Southwest"
"Wake Forest","Southeast"
"Marshall","Southeast"
"Brigham Young","West"
"Texas A&M","Southwest"
"Nebraska","Midwest"
"Indiana","Midwest"
"Florida","Southeast"
"Texas-El Paso","Southwest"
"Eastern Kentucky","Southeast"
"Oregon State","West"
"New Mexico State","Southwest"
"South Florida","Southeast"
"California","West"
"Louisiana-Monroe","Southeast"
"Washington","West"
"Oklahoma","Southwest"
"Virginia Tech","Southeast"
"Michigan","Midwest"
"Northern Colorado","West"
"Western Illinois","Midwest"
"Notre Dame","Midwest"
"UCLA","West"
"Bucknell","West"
"Kent State","Midwest"
"Louisiana Tech","Southeast"
"Southern Mississippi","Southeast"
"Lehigh","Northeast"
"Central Washington","West"
"Vanderbilt","Southeast"
"Wyoming","West"
"Georgia Tech","Southeast"
"Minnesota","Midwest"
"Portland State","West"
"Nevada-Las Vegas","West"
"Ashland","Midwest"
"Syracuse","Northeast"
"Minnesota State","Midwest"
"South Dakota State","Midwest"
"Dayton","Midwest"
"Carthage","Midwest"
"Florida Atlantic","Southeast"
"Utah State","West"
"USC","Southeast"
"North Texas","Southwest"
"Morehead State","Southeast"
"Miami (Fla.)","Southeast"
"Prairie View A&M","Southwest"
"Northwestern State-Louisiana","Southeast"
"Kansas","Midwest"
"Hawaii","West"
"LSU","Southeast"
"Georgia Southern","Southeast"
"Temple","Northeast"
"Colorado State","West"
"William & Mary","Southeast"
"North Carolina State","Southeast"
"Virginia Union","Southeast"
"Cincinnati","Midwest"
"Southern University","Southwest"
"Colorado","West"
"Baylor","Southwest"
"Samford","Southeast"
"Wisconsin","Midwest"
"San Diego State","West"
"Memphis","Southeast"
"Appalachian State","Southeast"
"Purdue","Midwest"
"James Madison","Southeast"
"San Jose State","West"
"Fordham","Northeast"
"Regina (Canada)","International"
"Indiana (PA)","Northeast"
"Arizona","Southwest"
"West Chester","Northeast"
"Texas A&M - Kingsville","Southwest"
"Troy","Southeast"
"Nevada","West"
"Bemidji State","Midwest"
"Southern Methodist","Southwest"
"Grambling State","Southeast"
"Georgia State","Southeast"
"Texas Southern","Southwest"
"Rutgers","Northeast"
"Army","Northeast"
"West Georgia","Southeast"
"Florida State","Southeast"
"Bowling Green State","Midwest"
"South Carolina State","Southeast"
"Arkansas State","Southeast"
"Tennessee State","Southeast"
"St. Augustine's","Southeast"
"Charlotte","Southeast"
"Northwestern","Midwest"
"Montana State","West"
"Utah","West"
"Monmouth (Ill.)","Midwest"
"Eastern Illinois","Midwest"
"Boise State","West"
"Auburn","Southeast"
"Central State (Ohio)","Midwest"
"Kentucky","Southeast"
"Connecticut","Northeast"
"Houston","Southwest"
"Weber State","West"
"North Carolina","Southeast"
"Hobart","Northeast"
"Missouri Southern State","Midwest"
"Louisiana-Lafayette","Southeast"
"Oklahoma State","Southwest"
"Mesa State","West"
"Angelo State","Southwest"
"Miami (Ohio)","Midwest"
"Mississippi State","Southeast"
"Central Oklahoma","Southwest"
"Jacksonville State","Southeast"
"Midwestern State","Southwest"
"Southern Oregon","West"
"Kansas State","Midwest"
"St. Mary's (CA)","West"
"Hillsdale","Midwest"
"Kutztown","Northeast"
"The Citadel","Southeast"
"Cheyney","Northeast"
"Toledo","Midwest"
"Western Kentucky","Southeast"
"Western Carolina","West"
"Rice","Southwest"
"Eastern Michigan","Midwest"
"Massachusetts","Northeast"
"Jacksonville","Southeast"
"Wheaton","Midwest"
"West Texas A&M","Southwest"
"Bethune-Cookman","Southeast"
"Winston-Salem State","Southeast"
"Tulane","Southeast"
"Coastal Carolina","Southeast"
"Duke","Southeast"
"New Mexico Highlands","Southwest"
"Harvard","Northeast"
"Florida International","Southeast"
"Texas Tech","Southwest"
"Wichita State","Midwest"
"Alabama A&M","Southeast"
"Delta State","Southeast"
"Tuskegee","Southeast"
"Washington State","West"
"Alabama-Birmingham","Southeast"
"Carson-Newman","Southeast"
"Delaware","Northeast"
"Hampton","Southeast"
"Florida A&M","Southeast"
"Howard","Southeast"
"Central Michigan","Midwest"
"Valdosta State","Southeast"
"Liberty","Southeast"
"Texas A&M-Commerce","Southwest"
"Laval (Canada)","International"
"Hofstra","Northeast"
"Union College (KY)","Southeast"
"East Central (OK)","Southwest"
"Cal Poly-S.L.O.","West"
"Mississippi Valley State","Southeast"
"Malone College","Midwest"
"East Carolina","Southeast"
"Murray State","Southeast"
"Villanova","Northeast"
"Western State (Colo.)","West"
"Northern Iowa","Midwest"
"Illinois State","Midwest"
"Youngstown State","Midwest"
"McNeese State","Southeast"
"Tulsa","Southwest"
"Richmond","Southeast"
"Southern Illinois","Midwest"
"Eastern Washington","West"
"Livingstone","Southeast"
"North Dakota State","Midwest"
"Air Force","West"
"St. Cloud State","Midwest"
"Long Beach State","West"
"Texas-Arlington","Southwest"
"Garden City CC KS","Midwest"
"Middle Tennessee State","Southeast"
"Idaho","West"
"Abilene Christian","Southwest"
"Ball State","Midwest"
"Boston U.","Northeast"
"Wis.-La Crosse","Midwest"
"New Mexico","Southwest"
"Lamar","Southwest"
"Montana","West"
"Ohio U.","Midwest"
"Lafayette","Southeast"
"Wooster","Midwest"
"California-Davis","West"
"Princeton","Northeast"
"Navy","Northeast"
"North Alabama","Southeast"
"Savannah State","Southeast"
"Elizabeth City State","Southeast"
"Norfolk State","Southeast"
"Alabama State","Southeast"
"Nebraska-Omaha","Midwest"
"Northern Illinois","Midwest"
"Anderson (Ind.)","Midwest"
"Wayne State (Neb.)","Midwest"
"Ferris State","Midwest"
"South Alabama","Southeast"
"Buffalo","Northeast"
"Newberry","Southeast"
"Grand Valley State","Midwest"
"Pennsylvania","Northeast"
"Marian (Ind.)","Midwest"
"Northwest Missouri State","Midwest"
"Slippery Rock","Northeast"
"Maine","Northeast"
"North Carolina A&T","Southeast"
"Concordia (Minn.)","Midwest"
"Shippensburg","Northeast"
"Santa Clara","West"
"Wofford","Southeast"
"Gardner-Webb","Southeast"
"Arkansas-Pine Bluff","Southeast"
"Southeast Missouri State","Midwest"
"Albany","Northeast"
"Northwestern (Ia)","Midwest"
"Texas-San Antonio","Southwest"
"Lindenwood","Midwest"
"Northwestern Oklahoma State","Southwest"
"Stillman","Southeast"
"Stephen F. Austin St.","Southwest"
"Holy Cross","Northeast"
"Georgetown (KY)","Southeast"
"Augustana (S.D.)","Midwest"
"Cornell","Northeast"
"Alcorn State","Southeast"
"Jackson State","Southeast"
"Tennessee-Chattanooga","Southeast"
"Salisbury State","Northeast"
"California (PA)","Northeast"
"Wagner","Northeast"
"Akron","Midwest"
"Kentucky State","Southeast"
"Adams State","West"
"Pittsburgh-Johnstown","Northeast"
"Washburn","Midwest"
"Dartmouth","Northeast"
"Carroll (Mont.)","West"
"Mount Union","Midwest"
"Southern Arkansas","Southeast"
"North Dakota","Midwest"
"Elon","Southeast"
"Morgan State","Northeast"
"Presbyterian","Southeast"
