"Player_Id","Position","Height","Weight","College","Hall_Of_Fame","Games_Played","Solo_Tackles","Assisted_Tackles","Sacks","Safeties","Passes_Defended","Interceptions","def_TDs","INT_Yards","AverageYrdperINT","Tot_CareerHighINTReturn","Fumbles","Fumbles_Lost","Forced_Fumbles","Own_Recovery","Opposing_Recovery","Fumbles_TD","Passing_Attempts","Passing_Completions","Completion_Percentage","Passing_Yards_Gained","Yrds_gained_per_Attempt","Sum_cr_long_passes","Passing_TDs","Interceptions_thrown","First_downs_thrown","First_downs_per_attempt_percentage","Been_Sacked","Sack_Yards","Sacked_per_game","Passer_Rating","Receptions","Receiving_Yards","Yards_per_Reception","Sum_cr_long_receptions","Receiving_TDs","Receptions_per_Game","Receiving_Yards_per_Game","First_down_receptions","First_down_receptions_percentage","TDs_per_Reception","Rushing_Attempts","Rushing_Yards","Rushing_Yards_per_Attempt","Sum_cr_long_rush_yds","Rushing_TDs","Rushing_Yards_per_Game","Rushing_Attempts_per_Game","First_down_rushes","First_down_rushes_percentage","TDs_per_Rush_Attempt","Rush_TD_per_Game"
"a-j-bouye","CB",72,191,"UCF","False",100,282,51,1,0,72,14,1,233,16,161,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a-j-brown","WR",72,226,"Mississippi","False",30,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,2126,17.4,164,19,4.06666666666667,70.8666666666667,94,77.05,0.155737704918033,3,60,20,49,1,2,0.1,2,66.67,0.333333333333333,0.0333333333333333
"a-j-cann","OG",75,315,"South Carolina","False",91,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a-j-cole","P",76,220,"North Carolina State","False",32,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.03125,0,0,0,0
"a-j-dillon","RB",72,247,"Boston College","False",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,10.5,16,0,0.181818181818182,1.90909090909091,1,50,0,46,242,5.3,30,2,22,4.18181818181818,11,23.91,0.0434782608695652,0.181818181818182
"a-j-epenesa","DE",78,280,"Iowa","False",14,9,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a-j-green","WR",76,210,"Georgia","False",127,10,1,0,0,1,0,0,0,0,0,12,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649,9430,14.5,576,65,5.11023622047244,74.251968503937,445,68.57,0.100154083204931,11,93,8.5,47,0,0.732283464566929,0.0866141732283465,5,45.45,0,0
"a-j-johnson","ILB",74,255,"Tennessee","False",32,114,94,2,0,5,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a-j-klein","OLB",73,240,"Iowa State","False",119,253,136,15,0,15,3,1,28,9,28,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a-j-moore","FS",71,200,"Mississippi","False",43,35,23,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
